id,title,client,agency,director,year,upload_date,duration,duration_sec,view_count,like_count,url,thumbnail,description_raw
FjeV3sdxHAs,BATA EID THEMATIC 2026,BATA,,Shahrear Polock,2026,,2:01,121,0,,https://www.youtube.com/watch?v=FjeV3sdxHAs,https://i.ytimg.com/vi/FjeV3sdxHAs/maxresdefault.jpg,"[metadata unavailable — posted 1 day before this research, likely still processing on YouTube]"
vPoRl5SHun0,BelleAme Biscuit TVC | New Zealand Dairy,New Zealand Dairy Products Bangladesh Ltd,Cocktail Advertising Limited,Shahrear Polock,2026,20260424,0:47,47,48,,https://www.youtube.com/watch?v=vPoRl5SHun0,https://i.ytimg.com/vi_webp/vPoRl5SHun0/maxresdefault.webp,"Client: New Zealand Dairy Products Bangladesh Ltd | Brand: BelleAme Chocolate Digestive | Campaign: Freedom Super Saver TVC | Chief Marketing Officer: Asif Rouf | Marketing Manager: Riyadul Islam Riyad | Sr. Brand Executive: Jannatul Ferdous Nitu |  | Agency: Cocktail Advertising Limited | Chief Creative Officer: Mehedi Hasan | Project Coordinator: Shuvo Chowdhury | Business Growth Officer - Ariana Kayan | Research & Copy - Sakib Haque |  | Production House: Golpo Greehoo Films |  | Director: Shahrear Polock | DOP : Raju Raj |  | Golpo Greehoo Films ADMINISTRATION: | Deputy Director: Sohan Polock | Production Advisor: Arafat Sumon | Line Producer: MD Ramjan Ali Khan | Communication Expert: Imran Reza |  | PRODUCTION & TEAM: | Assistant director (R&D) : Hasan Mohammad, Antor | Assistant Director(Field) : Sadim Mahmud Arnub | Intern AD: Simmi Rahman |  | CAST, COSTUME & MAKEOVER: |  | Costume & Wardrobe : | Costume Design and styling: Mesfir Ayaz (The costume Anatomy) | Costume Team : Ratul , Rasel , Sabbir | On spot tailor: Nazmul |  | Casting Director: Sharif Hasan Bappy |  | Makeup & Hair artist - Rajon Zx | Junior makeup artist - Alom | Assistant - Md Alinur Haque |  | ART DEPARTMENT : | Art director : Shajib Rehman  | Assistant art director : Readoy | Art assistant : Emdadul | Props boy : Romjan, Zakir |  | POST PRODUCTION ( EDIT & VFX) | Online Edit: Masud | Offline Edit: Golpo Greehoo Films In House | Post Supervisor: Sadim Mahmud Arnub | Color Grade : Chinnmoy Roy | Product CG : FireDrum Studios  | CG: Arclight studio |  | POST PRODUCTION ( SOUND) | Jingle : Aynus Tazwar Haque, SubhRo Raha | Sound Design : Zayed | Sound Studio : Studio 8/A |  | CAMERA,LIGHT & LOGISTIC: | Camera House: Fiha Multimedia | Camera Chief : Rubel Hasan | Focus Puller: Rony Khan | Dop Assistant : MH Shishir | Ronin operator - Samar Dhali | Ronin assistant - Shurjo | Circle trolley - Jaman | Light Gaffer: Khorshed | Light House : Light House |  | PRODUCTION CREW: | Production Manager: Jashim Hawladar | Spot Boy : Sharif , Kabir, Mostakim,Parvej, Raju,  Jony |  | Voice Over : Sarzina Islam | Cast : Anika Binte Kamal Aira , Arham Ibna Hasan"
IMw4R9Zs1uU,AMAR bKash - সাহস,Amar bKash-আমার বিকাশ,Bread & Butter,Shahrear Polock,2025,20251024,1:44,104,14,,https://www.youtube.com/watch?v=IMw4R9Zs1uU,https://i.ytimg.com/vi/IMw4R9Zs1uU/maxresdefault.jpg,"#সাহস | Campaign: অনুভূতির বিনিময়েই আমার বিকাশ | Client: Amar bKash-আমার বিকাশ  | Agency: Bread & Butter | Production House: Golpo Greehoo Films | Director: Shahrear Polock | DOP : @Raju Raj  | GGF ADMINISTRATION:  | Deputy Director: Sohan Polock | Line Producer: @MD Ramjan Ali Khan | Field Officer : Rubel Rock | Office Manager: Tawhid Islam | PRODUCTION & TEAM: | Assistant director (R&D ) : Hasan Mohammad | Assistant Director(Field) : Ahmed Shuvo | Intern AD : Shanto Saha  , Sithi Esra  | CAST, COSTUME & MAKEOVER: | Casting Director: S. H. Bappy | Costume Designer: Sumaiya Ahnik  | Costume Assistant: Roy Rain  | Make-up Artist: Mahbub Rahman Manik | Make-up Assistant:Rony | ART DEPARTMENT: | Art Director:  Manik Akon | Assistant Art Director:  Ehasanul  Kabir | Art Boy : Pitter , Sumon | POST PRODUCTION ( EDIT & VFX) | Online Edit: Nazibul Islam Moon  | Offline Edit: GGF | Post Supervisor:  Ahnaf Tazwar Haque  | Color Grade :Zakir Hossain | CG & VFX: Arclight Studio | POST PRODUCTION ( SOUND) | Music : SubhRo Raha ,  Aynus Tazwar Haque | Sound Design : Zayed , Ishan | Sound Studio : Studio 8/A | CAMERA,LIGHT & LOGISTIC: | Camera House: SandBag | Camera Chief : Shakil | Focus Puller: Shishir | Light Gaffer: Nironjon | Light: Alo Mahal | PRODUCTION CREW: | Production Manager: Jashim Hawladar | Spot Boy : Jony, Saiful , Sharif, Mintu , Kabir  | Voice Over :  | Cast : Sarker Raunak Ripon , Tanay Biswas , nazmul haque Babu, Shifat Bonna , Alvira Rahman Alvi | Special thanks : Khan Moidul Islam , Rubel Rony"
ne_dtk1NQuo,AMAR bKash -ঊল-লিখিত,আমার বিকাশ - Amar bKash,Bread & Butter,Shahrear Polock,2025,20251014,1:40,100,20,1,https://www.youtube.com/watch?v=ne_dtk1NQuo,https://i.ytimg.com/vi_webp/ne_dtk1NQuo/maxresdefault.webp,"AMAR bKash -ঊল-লিখিত | Campaign: অনুভূতির বিনিময়েই আমার বিকাশ | Client: আমার বিকাশ - Amar bKash | Agency: Bread & Butter | Production House: Golpo Greehoo Films  |  | Director: Shahrear Polock | DOP : Raju Raj |  | GGF ADMINISTRATION:  | Deputy Director: Sohan Polock  | Line Producer: MD. Ramjan Ali Khan | Field Officer : Rubel Rock | Office Manager: Tawhid Islam |  | PRODUCTION & TEAM: | Assistant director (R&D ) : Hasan Mohammad | Assistant Director(Field) : Ahmed Shuvo,   | Intern AD : Shanto Saha , Shithi Esra |  | CAST, COSTUME & MAKEOVER: | Casting Director: S.H Bappy | Costume Designer: Sumaiya Ahnik | Costume Assistant: Brishty | Make-up Artist: Mahbub Rahman Manik | Make-up Assistant:Rony |  | ART DEPARTMENT: | Art Director: Md Rinku | Assistant Art Director: Rabby, Rayhan | Art Assistant: Amir | Art Boy : Ibrahim |  | POST PRODUCTION ( EDIT) | Online Edit: Nazibul Islam Moon | Offline Edit:GGF | Post Supervisor:  Ahnaf | Color Grade :Zakir Hossain | CG & VFX: Arclight Studio |  | POST PRODUCTION ( SOUND) | Music : Subhro Raha ,  Aynus Tazwar | Sound Design : Zayed , Ishan | Sound Studio : Studio 8/A |  | CAMERA,LIGHT & LOGISTIC: | Camera House: SandBag | Camera Chief : Shakil | Focus Puller: Shishir | Light Gaffer: Nironjon | Light: Alo Mahal |  | PRODUCTION CREW: | Production Manager: Jashim Hawladar | Spot Boy : Jony, Saiful , Sharif, Mintu , Kabir  |  | Voice Over : Rasel Mahmud | Cast : Prof. Nusrat Sultana, Sadnima Binte Noman | Special thanks : Khan Moidul Islam , Rubel Rony"
xaq-M_pT1r0,ASMAR GOLPO - বিকশিত বাংলাদেশ,BIKOSHITO BANGLADESH,BREAD & BUTTER,Shahrear Polock,2025,20251014,2:08,128,16,1,https://www.youtube.com/watch?v=xaq-M_pT1r0,https://i.ytimg.com/vi_webp/xaq-M_pT1r0/maxresdefault.webp,ASMAR GOLPO | CLIENT : BIKOSHITO BANGLADESH | AGENCY : BREAD & BUTTER  | DIRECTION: TEAM Golpo Greehoo | SUPERVISION : SHAHREAR POLOCK | PRODUCTION : Golpo Greehoo Films
bQ_f6JT23f4,SWAPNO - APON SHOKTI TE NARI,ACI,SALT CREATIVES,SHAHREAR POLOCK,2025,20251012,2:23,143,8,1,https://www.youtube.com/watch?v=bQ_f6JT23f4,https://i.ytimg.com/vi_webp/bQ_f6JT23f4/maxresdefault.webp,SWAPNO - APON SHOKTI TE NARI | CLIENT : ACI | AGENCY : SALT CREATIVES | DIRECTOR : SHAHREAR POLOCK | Golpo Greehoo Films
h907yfpkg8c,WORKREEL  SHAHREAR POLOCK 2025,,,Shahrear Polock,2025,20251012,6:05,365,11,1,https://www.youtube.com/watch?v=h907yfpkg8c,https://i.ytimg.com/vi/h907yfpkg8c/maxresdefault.jpg,WORKREEL  SHAHREAR POLOCK 2025
shHwzaFKJZs,HERO'R DESH BANGLADESH,HERO BANGLADESH,Carrot Com,SHAHREAR POLOCK,2025,20251012,2:25,145,17,,https://www.youtube.com/watch?v=shHwzaFKJZs,https://i.ytimg.com/vi_webp/shHwzaFKJZs/maxresdefault.webp,HERO'R DESH BANGLADESH | CLIENT: HERO BANGLADESH | AGENCY : Carrot Com | DIRECTOR : SHAHREAR POLOCK | Golpo Greehoo Films
18I_cZohaH0,FRESH PREMIUM TEA-SHEI TUMI K,MGI,SUN COMMUNICATION,SHAHREAR POLOCK,2025,20251005,4:51,291,10,2,https://www.youtube.com/watch?v=18I_cZohaH0,https://i.ytimg.com/vi/18I_cZohaH0/maxresdefault.jpg,FRESH PREMIUM TEA-SHEI TUMI K  | CLIENT : MGI  | AGENCY : SUN COMMUNICATION | DIRECTOR : SHAHREAR POLOCK | Golpo Greehoo Films
41EaWieLVSo,AIRTEL SYLHET SONG,AIRTEL BANGLADESH,BITOPI,SHAHREAR POLOCK,2025,20251005,1:43,103,16,1,https://www.youtube.com/watch?v=41EaWieLVSo,https://i.ytimg.com/vi_webp/41EaWieLVSo/maxresdefault.webp,AIRTEL SYLHET SONG | CLIENT : AIRTEL BANGLADESH  | AGENCY : BITOPI  | DIRECTOR: SHAHREAR POLOCK  | Golpo Greehoo Films
